esp,ing
"El gráfico compara el número de pasajeros que utilizaron tres tipos de transporte público —autobuses, trenes y tranvías— en la ciudad de Metropolis durante el período de 2015 a 2019.","The graph compares the number of passengers who used three types of public transport—buses, trains, and trams—in the city of Metropolis over the period from 2015 to 2019."
"En términos generales, se puede observar una tendencia al alza en el uso del tren, mientras que el número de pasajeros que usaron autobuses y tranvías varió considerablemente.","Generally speaking, an upward trend can be observed in the use of trains, whereas the number of passengers who took buses and trams fluctuated considerably."
"En 2015, el autobús era el medio de transporte más utilizado, con aproximadamente 50,000 pasajeros mensuales, seguido por el tren y el tranvía, con 40,000 y 30,000 respectivamente.","In 2015, the bus was the most used means of transport, with approximately 50,000 monthly passengers, followed by the train and the tram, with 40,000 and 30,000 respectively."
"Sin embargo, a lo largo de los siguientes dos años, el número de pasajeros de autobuses disminuyó drásticamente hasta alcanzar los 20,000 en 2017, debido a la introducción de nuevas rutas de tren.","However, over the following two years, the number of bus passengers dropped sharply to 20,000 in 2017, due to the introduction of new train routes."
"Por el contrario, el uso del tren aumentó de forma constante durante este tiempo, superando al autobús en 2017 con un total de 60,000 pasajeros mensuales.","In contrast, train usage increased steadily during this time, surpassing the bus in 2017 with a total of 60,000 monthly passengers."
"El tranvía, por otro lado, experimentó fluctuaciones a lo largo de los años, subiendo a 40,000 en 2016, pero cayendo nuevamente a 20,000 en 2018, probablemente como resultado de las obras de mantenimiento en las líneas principales.","The tram, on the other hand, experienced fluctuations throughout the years, rising to 40,000 in 2016 but falling again to 20,000 in 2018, probably as a result of maintenance work on the main lines."
"En 2019, tanto el tren como el tranvía se estabilizaron, mientras que el autobús, que había perdido popularidad, comenzó a recuperarse gradualmente.","In 2019, both the train and the tram stabilized, while the bus, which had lost popularity, began to recover gradually."
"Los informes de la municipalidad indicaron que el aumento de la tarifa del autobús en 2017 había desalentado a los pasajeros, un problema que se abordó en 2018 con la reducción de precios.","Municipal reports indicated that the bus fare increase in 2017 had discouraged passengers, an issue that was addressed in 2018 with a price reduction."
"Como resultado, el número de pasajeros de autobús se incrementó nuevamente en 2019, aunque no llegó a los niveles iniciales de 2015.","As a result, the number of bus passengers increased again in 2019, although it did not reach the initial levels of 2015."
"En términos comparativos, se podría decir que si los autobuses hubieran mantenido tarifas más competitivas, habrían atraído a un mayor número de usuarios durante este período.","In comparative terms, it could be said that if buses had maintained more competitive fares, they would have attracted a larger number of users during this period."
"Asimismo, los trenes parecen haber ganado la preferencia del público debido a su mayor cobertura y frecuencia, especialmente tras la expansión de la red en 2016.","Likewise, trains appear to have gained public preference due to their wider coverage and frequency, especially after the network expansion in 2016."
"El tranvía, aunque útil en ciertas áreas de la ciudad, sigue siendo una opción menos popular en comparación con los otros dos modos de transporte.","The tram, although useful in certain areas of the city, remains a less popular option compared to the other two modes of transport."
"En definitiva, el gráfico muestra que el tren ha pasado a ser el medio de transporte más utilizado en Metropolis, desplazando al autobús, que era el líder en 2015.","Ultimately, the graph shows that the train has become the most used means of transport in Metropolis, displacing the bus, which was the leader in 2015."
"Si las autoridades hubieran implementado mejoras en el servicio del tranvía, como rutas adicionales o mayor frecuencia, podría haber sido más competitivo frente a los otros transportes.","If the authorities had implemented improvements in tram services, such as additional routes or increased frequency, it might have been more competitive against the other means of transport."
"En conclusión, se observa que los trenes superaron a los autobuses en popularidad a lo largo del período, y el tranvía mantuvo un uso inestable a pesar de las fluctuaciones de pasajeros en toda la ciudad.","In conclusion, it is evident that trains outperformed buses in popularity over the period, and the tram maintained an unstable use despite fluctuations in passenger numbers across the city."
